week,home_team,home_score_est,away_team,visitor_score_est,spread_line,home_moneyline,away_moneyline,total_line,win_prob,home_score_actual,away_score_actual
16,LAC,22.7,BUF,29.2,NA,NA,NA,NA,0.322,NA,NA
16,ATL,20.2,IND,24.3,NA,NA,NA,NA,0.359,NA,NA
16,CAR,20.7,GB,25.9,NA,NA,NA,NA,0.259,NA,NA
16,HOU,23.1,CLE,20.1,NA,NA,NA,NA,0.602,NA,NA
16,MIN,21.7,DET,28.4,NA,NA,NA,NA,0.274,NA,NA
16,NYJ,22.5,WAS,21.6,NA,NA,NA,NA,0.422,NA,NA
16,TEN,20,SEA,24.7,NA,NA,NA,NA,0.267,NA,NA
16,TB,21.3,JAX,20.2,NA,NA,NA,NA,0.534,NA,NA
16,CHI,20.9,ARI,30.1,NA,NA,NA,NA,0.179,NA,NA
16,MIA,23.9,DAL,26.3,NA,NA,NA,NA,0.542,NA,NA
16,DEN,24.4,NE,25.5,NA,NA,NA,NA,0.421,NA,NA
16,KC,30.1,LV,15.2,NA,NA,NA,NA,0.902,NA,NA
16,PHI,32.1,NYG,13.4,NA,NA,NA,NA,0.922,NA,NA
16,SF,27.4,BAL,21.8,NA,NA,NA,NA,0.645,NA,NA
17,CLE,21.2,NYJ,15.8,NA,NA,NA,NA,0.722,NA,NA
17,DAL,21.7,DET,23.5,NA,NA,NA,NA,0.37,NA,NA
17,BAL,29,MIA,23.3,NA,NA,NA,NA,0.581,NA,NA
17,BUF,28.7,NE,17,NA,NA,NA,NA,0.817,NA,NA
17,CHI,21.3,ATL,23.5,NA,NA,NA,NA,0.405,NA,NA
17,HOU,24.2,TEN,19,NA,NA,NA,NA,0.7,NA,NA
17,IND,25.3,LV,17,NA,NA,NA,NA,0.805,NA,NA
17,JAX,25.9,CAR,16.1,NA,NA,NA,NA,0.818,NA,NA
17,NYG,19.8,LA,27.6,NA,NA,NA,NA,0.185,NA,NA
17,PHI,30.6,ARI,22.7,NA,NA,NA,NA,0.668,NA,NA
17,TB,20,NO,18.8,NA,NA,NA,NA,0.606,NA,NA
17,WAS,17.8,SF,29.4,NA,NA,NA,NA,0.169,NA,NA
17,SEA,26.9,PIT,16.2,NA,NA,NA,NA,0.844,NA,NA
17,DEN,26.7,LAC,29.7,NA,NA,NA,NA,0.295,NA,NA
17,KC,29.7,CIN,18.1,NA,NA,NA,NA,0.824,NA,NA
17,MIN,26.5,GB,23.2,NA,NA,NA,NA,0.583,NA,NA
18,ARI,26.3,SEA,28.1,NA,NA,NA,NA,0.42,NA,NA
18,BAL,26.1,PIT,14.1,NA,NA,NA,NA,0.876,NA,NA
18,CAR,17.7,TB,25.1,NA,NA,NA,NA,0.235,NA,NA
18,CIN,19,CLE,23.2,NA,NA,NA,NA,0.368,NA,NA
18,DET,29.6,MIN,19.8,NA,NA,NA,NA,0.768,NA,NA
18,GB,27.4,CHI,18.6,NA,NA,NA,NA,0.795,NA,NA
18,IND,21.9,HOU,23.9,NA,NA,NA,NA,0.451,NA,NA
18,LAC,24.9,KC,26.8,NA,NA,NA,NA,0.502,NA,NA
18,LV,21.7,DEN,26.6,NA,NA,NA,NA,0.26,NA,NA
18,MIA,23.7,BUF,30.8,NA,NA,NA,NA,0.325,NA,NA
18,NE,21.9,NYJ,17,NA,NA,NA,NA,0.752,NA,NA
18,NO,25.1,ATL,17,NA,NA,NA,NA,0.701,NA,NA
18,NYG,14.2,PHI,30.6,NA,NA,NA,NA,0.097,NA,NA
18,SF,32.4,LA,20,NA,NA,NA,NA,0.789,NA,NA
18,TEN,20.5,JAX,21.8,NA,NA,NA,NA,0.378,NA,NA
18,WAS,17.2,DAL,24.7,NA,NA,NA,NA,0.314,NA,NA
